"id","partName","partDescription","partCode","partMake","partModel","partLastPrice","partAccount","partChargeDepartment","partNotes","partBarcode","partInventoryCode","partCategory_id"
"1","۱ آبپاش سختی گیر ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"2","آداپتور ۶ ولت ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"3","آژیر اعلام حریق ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"4","استارت ۴۰ وات مهتابی ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"5","استارت مهتابی ۲۰ وات ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"6","اگزوز فن ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"7","الماس شیشه بر ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"8","اهرم فلاش تانک ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"9","بالاتنه شیر فلکه نمره ۲/۵ وحید ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"10","برزنت ۳۵۰۰ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"11","بست پرچمی شوفاژ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"12","بست دو پایه نمره ۳ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"13","بست دو پایه نمره ۶ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"14","بست روکا ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"15","بست شیلنگ توالت ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"16","بست شیلنگی نمره ۲/۵ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"17","بست شیلنگی نمره ۳ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"18","بست شیلنگی نمره ۴ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"19","بست شیلنگی نمره ۵ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"20","بست شیلنگی نمره ۶ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"21","بست علمکی نمره ۱۵ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"22","بست علمکی نمره ۳ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"23","بست علمکی نمره ۴ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"24","بست علمکی نمره ۶ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"25","بست نمره ۲ وحید ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"26","بست نمره ۲/۵ وحید ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"27","بلبرینک ۶۳۱۰ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"28","بلبرینگ ۵۳۰۷ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"29","بلبرینگ ۶۰۸ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"30","بلبرینگ ۶۲۰۴ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"31","بلبرینگ ۶۲۰۷ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"32","بلبرینگ ۶۲۱۰ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"33","بلبرینگ ۶۳۱۱ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"34","۲۰۸ h بلبرینگ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"35","۲۰۸ nu بلبرینگ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"36","بوشن پرسی نمره ۱۶ * ۱۶ نیوپایپ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"37","بوشن پرسی نمره ۴۰ * ۴۰ نیوپایپ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"38","بوشن تبدیل ۶ * ۴ وحید ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"39","بوشن تبدیل پرسی نمره ۲۰ * ۳۲ نیوپایپ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"40","بوشن تبدیل پرسی نمره ۳۲ * ۴۰ نیوپایپ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"41","بوشن تبدیل پرسی نمره ۳۲ * ۵۰ نیوپایپ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"42","بوشن تبدیل پرسی نمره ۴۰ * ۵۰ نیوپایپ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"43","بوشن تبدیل ساده نمره ۳ * ۵ وحید ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"44","بوشن تبدیل نمره ۵ / ۲ * ۳ وحید ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"45","بوشن توپیچ پرسی نمره ۲ / ۱ * ۲۰ نیوپایپ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"46","بوشن توپیچ پرسی نمره ۱ * ۳۲ نیوپایپ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"47","بوشن دنده نمره ۲/۵ وحید ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"48","بوشن دنده نمره ۴ وحید ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"49","بوشن دنده نمره ۵ وحید ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"50","بوشن دنده نمره ۶ وحید ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"51","بوشن روپیچ پرسی نمره ۲ / ۱ * ۲۰ نیوپایپ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"52","بوشن ساده نمره ۲/۵ وحید ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"53","بوشن ساده نمره ۳ وحید ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"54","بوشن ساده نمره ۴ وحید ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"55","بوشن ساده نمره ۵ وحید ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"56","بوشن فولادی ۱۳ برق ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"57","AV بوشن فولادی ۱۶ برق ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"58","AA بوشن مغزی ۲ * ۱۲ / وحید ۵ ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"59","بوشن مغزی نمره ۲ وحید ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"60","بوشن مغزی نمره ۳ وحید ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"61","بوشن مغزی نمره ۴ وحید ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"62","بوشن نمره ۱۲ پلیکا ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"63","بوشن نمره ۱۵ گالوانیزه ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"64","بوشن نمره ۲ گالوانیزه ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"65","بوشن نمره ۲/۵ گالوانیزه ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"66","بوشن نمره ۵ گالوانیزه ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"67","بوشن نمره ۶ پلیکا ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"68","بوشن نمره ۶ گالوانیزه ",,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
